period,indicator_code,indicator_name,value
2024M03,BBYG,Construction_Confidence,90.7
2024M03,BTOT,Business_Sector_Confidence,92.9
2024M03,KIFI,Economic_Tendency_Indicator,92.4
2024M03,bhus,Consumer_Confidence,88.2
2024M03,bhusmakro,Consumer_Macro_Index,96.4
2024M03,bhusmikro,Consumer_Micro_Index,82.4
2024M04,BBYG,Construction_Confidence,94.7
2024M04,BTOT,Business_Sector_Confidence,95.1
2024M04,KIFI,Economic_Tendency_Indicator,94.2
2024M04,bhus,Consumer_Confidence,89.9
2024M04,bhusmakro,Consumer_Macro_Index,98.9
2024M04,bhusmikro,Consumer_Micro_Index,82.6
2024M05,BBYG,Construction_Confidence,92.4
2024M05,BTOT,Business_Sector_Confidence,93.8
2024M05,KIFI,Economic_Tendency_Indicator,94.0
2024M05,bhus,Consumer_Confidence,92.1
2024M05,bhusmakro,Consumer_Macro_Index,99.2
2024M05,bhusmikro,Consumer_Micro_Index,86.1
2024M06,BBYG,Construction_Confidence,94.3
2024M06,BTOT,Business_Sector_Confidence,97.2
2024M06,KIFI,Economic_Tendency_Indicator,96.0
2024M06,bhus,Consumer_Confidence,94.3
2024M06,bhusmakro,Consumer_Macro_Index,101.1
2024M06,bhusmikro,Consumer_Micro_Index,88.1
2024M07,BBYG,Construction_Confidence,95.5
2024M07,BTOT,Business_Sector_Confidence,95.3
2024M07,KIFI,Economic_Tendency_Indicator,94.8
2024M07,bhus,Consumer_Confidence,95.6
2024M07,bhusmakro,Consumer_Macro_Index,102.3
2024M07,bhusmikro,Consumer_Micro_Index,88.1
2024M08,BBYG,Construction_Confidence,93.8
2024M08,BTOT,Business_Sector_Confidence,94.3
2024M08,KIFI,Economic_Tendency_Indicator,94.4
2024M08,bhus,Consumer_Confidence,97.2
2024M08,bhusmakro,Consumer_Macro_Index,103.2
2024M08,bhusmikro,Consumer_Micro_Index,91.2
2024M09,BBYG,Construction_Confidence,91.4
2024M09,BTOT,Business_Sector_Confidence,95.8
2024M09,KIFI,Economic_Tendency_Indicator,94.5
2024M09,bhus,Consumer_Confidence,99.8
2024M09,bhusmakro,Consumer_Macro_Index,105.3
2024M09,bhusmikro,Consumer_Micro_Index,93.9
2024M10,BBYG,Construction_Confidence,91.5
2024M10,BTOT,Business_Sector_Confidence,94.8
2024M10,KIFI,Economic_Tendency_Indicator,93.6
2024M10,bhus,Consumer_Confidence,101.4
2024M10,bhusmakro,Consumer_Macro_Index,106.9
2024M10,bhusmikro,Consumer_Micro_Index,95.0
2024M11,BBYG,Construction_Confidence,92.7
2024M11,BTOT,Business_Sector_Confidence,98.1
2024M11,KIFI,Economic_Tendency_Indicator,97.2
2024M11,bhus,Consumer_Confidence,101.4
2024M11,bhusmakro,Consumer_Macro_Index,106.7
2024M11,bhusmikro,Consumer_Micro_Index,94.7
2024M12,BBYG,Construction_Confidence,90.1
2024M12,BTOT,Business_Sector_Confidence,99.1
2024M12,KIFI,Economic_Tendency_Indicator,96.8
2024M12,bhus,Consumer_Confidence,97.3
2024M12,bhusmakro,Consumer_Macro_Index,103.4
2024M12,bhusmikro,Consumer_Micro_Index,93.2
2025M01,BBYG,Construction_Confidence,94.8
2025M01,BTOT,Business_Sector_Confidence,99.8
2025M01,KIFI,Economic_Tendency_Indicator,96.9
2025M01,bhus,Consumer_Confidence,97.9
2025M01,bhusmakro,Consumer_Macro_Index,103.4
